Company,Job title,Location,Graduation year,Degree,Branch,Experience requirement,Skills,Job description
Bharti Airtel,Cybersecurity Analyst,Delhi NCR,2018,B.Tech,Computer Science,5-7 Years,"TCP/IP, VPN, Networking, Linux","Bharti Airtel has an opening for a Cybersecurity Analyst based in Delhi NCR. The ideal candidate is a B.Tech graduate in Computer Science with proficiency in TCP/IP, VPN, Networking, Linux. Required experience: 5-7 Years."
Divi's Laboratories,Customer Support Executive,Tirupati,2024,BBA,General,1-2 Years,"Time Management, MS Office, Customer Service, Problem Solving","Divi's Laboratories is expanding its Tirupati team and seeking a Customer Support Executive. A BBA in General is required along with working knowledge of Time Management, MS Office, Customer Service, Problem Solving. Experience: 1-2 Years."
Mphasis,Process Engineer,Ahmedabad,2017,M.Tech,Petrochemical Engineering,0-1 Years,"Safety Management, Aspen Plus, Quality Control, Process Design","We are looking for a passionate Process Engineer to join Mphasis in Ahmedabad. Candidates should hold a M.Tech (Petrochemical Engineering) and be skilled in Safety Management, Aspen Plus, Quality Control, Process Design. Experience level: 0-1 Years."
Ninjacart,Accountant,Bangalore,2016,CMA,Finance,8-12 Years,"Financial Reporting, GST, SAP, Budgeting, Accounting Standards","We are looking for a passionate Accountant to join Ninjacart in Bangalore. Candidates should hold a CMA (Finance) and be skilled in Financial Reporting, GST, SAP, Budgeting, Accounting Standards. Experience level: 8-12 Years."
InMobi,Sales Executive,Mysore,2021,PGDM,Marketing Management,4-6 Years,"Negotiation, Content Marketing, CRM, Salesforce","We are looking for a passionate Sales Executive to join InMobi in Mysore. Candidates should hold a PGDM (Marketing Management) and be skilled in Negotiation, Content Marketing, CRM, Salesforce. Experience level: 4-6 Years."
Myntra,Digital Marketing Specialist,Tirupati,2026,B.Com,Sales,0-2 Years,"Content Marketing, Lead Generation, Google Ads, SEM","Exciting opportunity for a Digital Marketing Specialist at Myntra (Tirupati). Applicants must be B.Com graduates in Sales, comfortable with Content Marketing, Lead Generation, Google Ads, SEM, and have 0-2 Years of industry experience."
Larsen & Toubro,HR Manager,Ranchi,2024,BBA,Human Resources,5-8 Years,"Payroll, Recruitment, Talent Management, HR Policies, Onboarding","Larsen & Toubro has an opening for a HR Manager based in Ranchi. The ideal candidate is a BBA graduate in Human Resources with proficiency in Payroll, Recruitment, Talent Management, HR Policies, Onboarding. Required experience: 5-8 Years."
Genpact India,Talent Acquisition Specialist,Gandhinagar,2018,PGDM,HR Management,4-6 Years,"Payroll, Recruitment, Talent Management, HRMS","Join Genpact India as a Talent Acquisition Specialist in Gandhinagar! We need someone with a PGDM in HR Management, strong command of Payroll, Recruitment, Talent Management, HRMS, and 4-6 Years of relevant experience."
Swiggy Instamart,Accounts Manager,Chennai,2024,CA,Financial Management,0-2 Years,"Budgeting, Accounting Standards, Taxation, SAP, Auditing","Exciting opportunity for a Accounts Manager at Swiggy Instamart (Chennai). Applicants must be CA graduates in Financial Management, comfortable with Budgeting, Accounting Standards, Taxation, SAP, Auditing, and have 0-2 Years of industry experience."
DMart,Visual Designer,Kolkata,2016,MBA,Design,5-8 Years,"Sketch, Content Writing, Figma, Prototyping","We are looking for a passionate Visual Designer to join DMart in Kolkata. Candidates should hold a MBA (Design) and be skilled in Sketch, Content Writing, Figma, Prototyping. Experience level: 5-8 Years."
Meesho,IT Support Engineer,Gurgaon,2021,Diploma,Information Technology,8-12 Years,"Firewalls, Linux, Troubleshooting, CCNA, Cybersecurity","Exciting opportunity for a IT Support Engineer at Meesho (Gurgaon). Applicants must be Diploma graduates in Information Technology, comfortable with Firewalls, Linux, Troubleshooting, CCNA, Cybersecurity, and have 8-12 Years of industry experience."
IndusInd Bank,Java Developer,Nagpur,2019,M.Tech,Computer Science,Fresher,"React, Java, AWS, Python, Angular","IndusInd Bank has an opening for a Java Developer based in Nagpur. The ideal candidate is a M.Tech graduate in Computer Science with proficiency in React, Java, AWS, Python, Angular. Required experience: Fresher."
Sony India,HR Manager,Ranchi,2020,B.Com,General Management,1-3 Years,"HRMS, Onboarding, Employee Engagement","Sony India is expanding its Ranchi team and seeking a HR Manager. A B.Com in General Management is required along with working knowledge of HRMS, Onboarding, Employee Engagement. Experience: 1-3 Years."
Angel One,Technical Writer,Surat,2019,B.A.,Design,1-2 Years,"SEO Writing, Illustrator, Adobe Photoshop","Angel One is expanding its Surat team and seeking a Technical Writer. A B.A. in Design is required along with working knowledge of SEO Writing, Illustrator, Adobe Photoshop. Experience: 1-2 Years."
Ashok Leyland,Area Sales Manager,Hyderabad,2016,PGDM,Marketing,7-10 Years,"Content Marketing, Social Media Marketing, Lead Generation","Ashok Leyland has an opening for a Area Sales Manager based in Hyderabad. The ideal candidate is a PGDM graduate in Marketing with proficiency in Content Marketing, Social Media Marketing, Lead Generation. Required experience: 7-10 Years."
EXL Service,SDET,Noida Sector 62,2021,B.E.,Information Technology,10+ Years,"Postman, JUnit, Test Case Design, Load Testing, Manual Testing","EXL Service is expanding its Noida Sector 62 team and seeking a SDET. A B.E. in Information Technology is required along with working knowledge of Postman, JUnit, Test Case Design, Load Testing, Manual Testing. Experience: 10+ Years."
Lenovo India,Marketing Executive,Hinjewadi Pune,2025,BBA,Marketing,0-2 Years,"Lead Generation, Content Marketing, Social Media Marketing, Negotiation","Join Lenovo India as a Marketing Executive in Hinjewadi Pune! We need someone with a BBA in Marketing, strong command of Lead Generation, Content Marketing, Social Media Marketing, Negotiation, and 0-2 Years of relevant experience."
KPMG India,Operations Executive,Remote,2016,B.Com,Arts,1-2 Years,"Communication, MS Office, Time Management","We are looking for a passionate Operations Executive to join KPMG India in Remote. Candidates should hold a B.Com (Arts) and be skilled in Communication, MS Office, Time Management. Experience level: 1-2 Years."
1mg Technologies,Construction Manager,Chennai,2023,Diploma,Structural Engineering,Fresher,"Estimation & Costing, Primavera, Project Management, AutoCAD","1mg Technologies has an opening for a Construction Manager based in Chennai. The ideal candidate is a Diploma graduate in Structural Engineering with proficiency in Estimation & Costing, Primavera, Project Management, AutoCAD. Required experience: Fresher."
1mg Technologies,Cybersecurity Analyst,Ranchi,2020,BCA,Electronics and Communication,3-5 Years,"Windows Server, TCP/IP, CCNA, VPN","1mg Technologies is hiring a Cybersecurity Analyst for its Ranchi office. The role calls for a BCA in Electronics and Communication and hands-on knowledge of Windows Server, TCP/IP, CCNA, VPN. Experience required: 3-5 Years."
Virtusa,Project Engineer,Mangalore,2022,M.Tech,Structural Engineering,Fresher,"Estimation & Costing, MS Project, Project Management","We are looking for a passionate Project Engineer to join Virtusa in Mangalore. Candidates should hold a M.Tech (Structural Engineering) and be skilled in Estimation & Costing, MS Project, Project Management. Experience level: Fresher."
Razorpay,CAD Engineer,Noida Sector 62,2018,B.E.,Mechanical Engineering,0-1 Years,"Ansys, Product Design, CNC Programming, Lean Manufacturing, GD&T","We are looking for a passionate CAD Engineer to join Razorpay in Noida Sector 62. Candidates should hold a B.E. (Mechanical Engineering) and be skilled in Ansys, Product Design, CNC Programming, Lean Manufacturing, GD&T. Experience level: 0-1 Years."
Tata Consultancy Services,Tax Consultant,Nagpur,2019,CA,Accounting,5-7 Years,"Financial Modeling, Excel, Taxation","Exciting opportunity for a Tax Consultant at Tata Consultancy Services (Nagpur). Applicants must be CA graduates in Accounting, comfortable with Financial Modeling, Excel, Taxation, and have 5-7 Years of industry experience."
Vodafone Idea,Plant Engineer,Coimbatore,2026,M.Tech,Petrochemical Engineering,8-12 Years,"Six Sigma, Process Optimization, Quality Control","Vodafone Idea is hiring a Plant Engineer for its Coimbatore office. The role calls for a M.Tech in Petrochemical Engineering and hands-on knowledge of Six Sigma, Process Optimization, Quality Control. Experience required: 8-12 Years."
Tata Steel,Process Associate,Kochi,2019,BBA,Commerce,1-3 Years,"CRM Tools, MS Office, Email Etiquette, Problem Solving, Customer Service","Tata Steel is expanding its Kochi team and seeking a Process Associate. A BBA in Commerce is required along with working knowledge of CRM Tools, MS Office, Email Etiquette, Problem Solving, Customer Service. Experience: 1-3 Years."
Subex,Data Analyst,Guwahati,2021,B.Sc,Mathematics,0-1 Years,"Deep Learning, SQL, R","Subex is hiring a Data Analyst for its Guwahati office. The role calls for a B.Sc in Mathematics and hands-on knowledge of Deep Learning, SQL, R. Experience required: 0-1 Years."
1mg Technologies,Technical Writer,Delhi NCR,2023,B.Des,Fine Arts,8-12 Years,"Figma, SEO Writing, Illustrator, Sketch, Adobe Photoshop","Join 1mg Technologies as a Technical Writer in Delhi NCR! We need someone with a B.Des in Fine Arts, strong command of Figma, SEO Writing, Illustrator, Sketch, Adobe Photoshop, and 8-12 Years of relevant experience."
Infoedge India,Instrumentation Engineer,Bhopal,2021,B.Tech,Electrical Engineering,5-7 Years,"Circuit Design, Microcontrollers, VLSI Design, MATLAB","We are looking for a passionate Instrumentation Engineer to join Infoedge India in Bhopal. Candidates should hold a B.Tech (Electrical Engineering) and be skilled in Circuit Design, Microcontrollers, VLSI Design, MATLAB. Experience level: 5-7 Years."
iGate,Business Intelligence Analyst,Indore,2017,MCA,Data Science,1-2 Years,"Machine Learning, Excel, PyTorch, TensorFlow","iGate is expanding its Indore team and seeking a Business Intelligence Analyst. A MCA in Data Science is required along with working knowledge of Machine Learning, Excel, PyTorch, TensorFlow. Experience: 1-2 Years."
Shree Cement,Financial Analyst,Guwahati,2024,CA,Financial Management,3-5 Years,"Accounting Standards, Auditing, Financial Modeling, SAP","Shree Cement is expanding its Guwahati team and seeking a Financial Analyst. A CA in Financial Management is required along with working knowledge of Accounting Standards, Auditing, Financial Modeling, SAP. Experience: 3-5 Years."
Hero MotoCorp,Marketing Executive,Tirupati,2020,BBA,General Management,5-7 Years,"Lead Generation, CRM, Social Media Marketing","Hero MotoCorp is expanding its Tirupati team and seeking a Marketing Executive. A BBA in General Management is required along with working knowledge of Lead Generation, CRM, Social Media Marketing. Experience: 5-7 Years."
Zoho Corporation,Python Developer,Guwahati,2023,BCA,Electronics and Communication,10+ Years,"Spring Boot, Microservices, Java","Exciting opportunity for a Python Developer at Zoho Corporation (Guwahati). Applicants must be BCA graduates in Electronics and Communication, comfortable with Spring Boot, Microservices, Java, and have 10+ Years of industry experience."
Lenovo India,Production Chemist,Hyderabad,2016,B.E.,Chemical Engineering,0-1 Years,"Process Design, Aspen Plus, Safety Management","Lenovo India is hiring a Production Chemist for its Hyderabad office. The role calls for a B.E. in Chemical Engineering and hands-on knowledge of Process Design, Aspen Plus, Safety Management. Experience required: 0-1 Years."
EY India,Talent Acquisition Specialist,Kochi,2019,MBA,General Management,2-4 Years,"HR Policies, Payroll, Communication, Recruitment","EY India has an opening for a Talent Acquisition Specialist based in Kochi. The ideal candidate is a MBA graduate in General Management with proficiency in HR Policies, Payroll, Communication, Recruitment. Required experience: 2-4 Years."
TCS,SDET,Gandhinagar,2022,B.Tech,Computer Science,0-1 Years,"Automation Testing, JIRA, Selenium, TestNG","Exciting opportunity for a SDET at TCS (Gandhinagar). Applicants must be B.Tech graduates in Computer Science, comfortable with Automation Testing, JIRA, Selenium, TestNG, and have 0-1 Years of industry experience."
Unacademy,Chemical Engineer,Gandhinagar,2026,B.E.,Petrochemical Engineering,Fresher,"Six Sigma, Safety Management, Quality Control, Process Optimization","Join Unacademy as a Chemical Engineer in Gandhinagar! We need someone with a B.E. in Petrochemical Engineering, strong command of Six Sigma, Safety Management, Quality Control, Process Optimization, and Fresher of relevant experience."
Razorpay,Cloud Engineer,Chennai,2025,B.E.,Information Technology,5-8 Years,"Azure, AWS, GCP, Docker","Join Razorpay as a Cloud Engineer in Chennai! We need someone with a B.E. in Information Technology, strong command of Azure, AWS, GCP, Docker, and 5-8 Years of relevant experience."
Upstox,Quality Engineer,Kochi,2016,Diploma,Automobile Engineering,2-3 Years,"CNC Programming, Lean Manufacturing, CATIA, Product Design, PLM","Upstox is expanding its Kochi team and seeking a Quality Engineer. A Diploma in Automobile Engineering is required along with working knowledge of CNC Programming, Lean Manufacturing, CATIA, Product Design, PLM. Experience: 2-3 Years."
